job_title,job_description,rating,location,size,industry,sector,founded,salary_avg,skills_extracted
sr data scientist,"description the senior data scientist is responsible for defining, building, and improving statistical models to improve business processes and outcomes in one or more healthcare domains such as clinical, enrollment, claims, and finance. as part of the broader analytics team, data scientist will gather and analyze data to solve and address complex business problems and evaluate scenarios to make predictions on future outcomes and work with the business to communicate and support decision-making. this position requires strong analytical skills and experience in analytic methods including multivariate regressions, hierarchical linear models, regression trees, clustering methods and other complex statistical techniques. duties & responsibilities: • develops advanced statistical models to predict, quantify or forecast various operational and performance metrics in multiple healthcare domains • investigates, recommends, and initiates acquisition of new data resources from internal and external sources • works with multiple teams to support data collection, integration, and retention requirements based on business needs • identifies critical and emerging technologies that will support and extend quantitative analytic capabilities • collaborates with business subject matter experts to select relevant sources of information • develops expertise with multiple machine learning algorithms and data science techniques, such as exploratory data analysis and predictive modeling, graph theory, recommender systems, text analytics and validation • develops expertise with healthfirst datasets, data repositories, and data movement processes • assists on projects/requests and may lead specific tasks within the project scope • prepares and manipulates data for use in development of statistical models • other duties as assigned minimum qualifications: -bachelor's degree preferred qualifications: - master’s degree in computer science or statistics familiarity with major cloud platforms such as aws and azure healthcare industry experience minimum qualifications: -bachelor's degree preferred qualifications: - master’s degree in computer science or statistics familiarity with major cloud platforms such as aws and azure healthcare industry experience we are an equal opportunity employer. applicants and employees are considered for positions and are evaluated without regard to mental or physical disability, race, color, religion, gender, national origin, age, genetic information, military or veteran status, sexual orientation, marital status or any other protected federal, state/province or local status unrelated to the performance of the work involved. if you have a disability under the americans with disability act or a similar law, and want a reasonable accommodation to assist with your job search or application for employment, please contact us by sending an email to careers@healthfirst.org or calling 212-519-1798 . in your email please include a description of the accommodation you are requesting and a description of the position for which you are applying. only reasonable accommodation requests related to applying for a position within healthfirst management services will be reviewed at the e-mail address and phone number supplied. thank you for considering a career with healthfirst management services. eeo law poster and supplement ]]>",3.1,"New York, NY",1001 to 5000 employees,Insurance Carriers,Insurance,1993,154.0,"statistical models, communicate, analytic methods, operational, quantify, data resources, regression trees, investigates, finance, make predictions, enrollment, predict, forecast, decision-making, clinical, hierarchical linear models, business processes, performance metrics, claims, clustering methods, healthcare, analytical skills, business, multivariate regressions, develops, statistical techniques, analyze data, acquisition"
data scientist,"secure our nation, ignite your future join the top information technology and analytic professionals in the industry to make invaluable contributions to our national security on a daily basis. in this innovative, self-contained, big data environment, the mantech team is responsible for everything from infrastructure, to application development, to data science, to advanced analytics and beyond. the team is diverse, the questions are thought-provoking, and the opportunities for growth and advancement are numerous the successful candidate will possess a diverse range of data-focused skills and experience, both technical and analytical. they will have a strong desire and capability for problem solving, data analysis and troubleshooting, analytical thinking, and experimentation. duties, tasks & responsibilities working with large, complex, and disparate data sets designing and implementing innovative ways to analyze and exploit the sponsors data holdings researching and reporting on a wide variety of sponsor inquiries raising proactive inquiries to the sponsor based on observations and proposed data analysis/exploitation solving difficult, non-routine problems by applying advanced analytical methodologies, and improving analytic methodologies developing custom searches communicating and coordinating with internal and external partners as needed required experience, skills, & technologies thorough knowledge of appropriate analytic tools and methodologies in one or more of the following: applied mathematics (e.g. probability and statistics, formal modeling, computational social sciences) computer programming (e.g. programming languages, math/statistics packages, computer science, machine learning, scientific computing) ability to code or script in one or more general programming language experience with and theoretical understanding of algorithms for classification, regression, clustering, and anomaly detection knowledge of relational databases, including sql and large-scale distributed systems (e.g. hadoop) expertise with statistical data analysis (e.g. linear models, multivariate analysis, stochastic models, sampling methods) demonstrated effectiveness in collecting information and accurately representing/visualizing it to non-technical third parties ts/sci with polygraph bachelor of science or equivalent and 12-15 years related experience, but will consider all levels of experience. desired experience, skills & technologies previous investigative experience using a combination of technical and analytic skills #li-du1 mantech international corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. we do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a disabled veteran, recently separated veteran, active duty wartime or campaign badge veteran, armed forces services medal, or any other characteristic protected by law. if you require a reasonable accommodation to apply for a position with mantech through its online applicant system, please contact mantech's corporate eeo department at (703) 218-6000. mantech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. mantech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. mantech does not accept resumes from unsolicited recruiting firms. we pay no fees for unsolicited services. if you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/pages/careers.aspx as a result of your disability. to request an accommodation please click careers@mantech.com and provide your name and contact information.",4.2,"Chantilly, VA",5001 to 10000 employees,Research & Development,Business Services,1968,154.0,"experimentation, data holdings, information technology, data analysis, analyze, technical, data science, big data, application development, analytics, innovative, implementing, data sets, data-focused, troubleshooting, infrastructure, problem solving, exploit, analytical, researching, reporting, analytical thinking, designing"
data scientist,"overview analysis group is one of the largest international economics consulting firms, with more than 1,000 professionals across 14 offices in north america, europe, and asia. since 1981, we have provided expertise in economics, finance, health care analytics, and strategy to top law firms, fortune global 500 companies, and government agencies worldwide. our internal experts, together with our network of affiliated experts from academia, industry, and government, offer our clients exceptional breadth and depth of expertise. we are currently seeking a data scientist to join our team. the ideal candidate should be passionate about working on cutting edge research and analytical services for fortune 500 companies, global pharma/biotech firms and leaders in industries such as finance, energy and life sciences. the data scientist will be a contributing member to client engagements and have the opportunity to work with our network of world-class experts and thought leaders. job functions and responsibilities the candidate data scientist will help develop, maintain and teach new tools and methodologies related to data science and high performance computing. this position will also help analysis group in maintaining our leadership position in terms of advancing methodology and data analytics. the data scientist will be responsible for staying abreast of new developments in technology relating to data science, to share more broadly with analysis group. key responsibilities for this position will include: working with project teams to address data science/computing challenges identifying opportunities for technology to enhance service offerings acting as a resource and participating in client engagements and research as part of the project team maintaining up-to-date knowledge of computing tools, providing technical training and helping to grow the in-house knowledge base, specifically in a linux environment presenting research at selected conferences examples of activities for the data scientist will include: developing data engineering and machine learning production systems for full stack data science projects using natural language processing methodologies to work with emr data, social media data and other unstructured data optimizing procedures for managing and accessing large databases (e.g., insurance claims, electronic health records, financial transactions) creating interactive analytics portals and data visualizations (e.g., using r/shiny, python/flask, d3) building and maintaining high performance computing (hpc) tools on grid and cloud computing environments developing and reviewing software and packages in r, python and other object oriented languages establishing optimized procedures for repetitive or computationally intensive tasks (c, c++, cuda-c) qualifications strong credentials and experience in database management and data visualization significant experience working within a linux environment required background in statistics/econometrics or biostatistics ideally phd in computer science, mathematics, statistics, economics or other relevant scientific degree with relevant experience. other candidates with at least one year of experience in the field may also be considered excellent written and verbal communication skills project experience with r and/or python familiar with online/cloud computing/storage (e.g., aws) demonstrated experience working on project teams and collaborating with others scientifique des données *l’utilisation du genre masculin sert uniquement à alléger le texte et est utilisé ici en tant que genre neutre survol groupe d’analyse ltée est l’une des plus grandes firmes de services-conseils en économie, comptant plus de 950 professionnels répartis dans 14 bureaux en amérique du nord, en europe et en asie. depuis 1981, nous offrons notre expertise en matière de stratégie, d’économie, de finance et d’analyse dans le domaine des soins de santé aux grands cabinets d’avocats, aux sociétés fortune global 500 et aux agences gouvernementales du monde entier. nos professionnels en poste conjugués à notre réseau de spécialistes affiliés issus d’universités, d’industries spécifiques et d’organismes gouvernementaux procurent à notre clientèle un savoir-faire d’une portée et d’une profondeur exceptionnelles. nous sommes présentement à la recherche d'un scientifique des données (« data scientist ») pour se joindre à notre équipe. le candidat idéal devrait être passionné par la recherche de pointe et les services analytiques pour les entreprises fortune 500, les entreprises pharmaceutiques et biotechnologiques mondiales et les chefs de file dans des secteurs de la finance, l'énergie et les sciences de la vie. le scientifique des données sera un membre contributeur aux mandats des clients et aura l'occasion de travailler avec notre réseau d'experts et de leaders d'opinion de classe mondiale. description du poste et des responsabilités le scientifique des données aidera à développer, maintenir et enseigner de nouveaux outils et méthodologies liés à la science des données (« data science ») et au hpc. ce poste aidera également le groupe d'analyse à maintenir sa position de chef de file en ce qui a trait à l'avancement de la méthodologie et de l'analyse des données. le scientifique des données sera chargé de se tenir au courant des nouveaux développements technologiques liés à la science des données, afin de les partager plus largement avec le groupe d'analyse. les principales responsabilités de ce poste comprendront: - collaborer avec les consultants pour relever les défis de la science des données et de sciences informatiques - agir à titre de ressource et participer aux mandats et à la recherche en tant que membre de l'équipe de projet - maintenir à jour les connaissances sur les outils informatiques, fournir une formation technique et aider à développer la base de connaissances interne, notamment dans un environnement linux - présenter la recherche à des conférences choisies exemples de tâches du scientifique des données : - développement de systèmes de production en ingénierie des données ainsi qu’en apprentissage machine pour des projets de science des données full stack - utiliser des méthodologies nlp pour travailler avec les données médicales électroniques, les données des médias sociaux et d'autres données non structures - optimiser les procédures de gestion et d'accès aux grandes bases de données (ex. réclamations d'assurance, dossiers de santé électroniques, transactions financières) - création de portails d'analyse interactifs et de visualisations de données (par exemple, en utilisant r/shiny, python/flask, d3) - construire et maintenir des outils de calcul de haute performance (hpc). - développement et révision de codes en r, python et autres langages - mise en place de procédures optimisées pour les tâches répétitives ou intensives en calcul (c, c++, cuda-c) qualifications requises - solides références et expérience dans la gestion de bases de données et de la visualisation de données - expérience de travail significative dans un environnement linux requise - expérience antérieure en statistique/économétrie ou bio-statistique - idéalement, être titulaire d'un doctorat en sciences informatiques, en mathématiques, en statistique, en économie ou d'un autre diplôme scientifique pertinent et posséder une expérience pertinente. les candidats ayant au moins un an d'expérience dans le domaine peuvent également être considérés. - excellentes aptitudes de communication écrite et verbale - expérience de projet avec r et/ou python - familiarité avec l'informatique en ligne/info nuagique et le stockage (aws) - expérience de travail démontrée au sein d'équipes de projet et de collaboration avec d'autres personnes ­ equal opportunity employer/protected veterans/individuals with disabilities. please view equal employment opportunity posters provided by ofccp here. the contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. however, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor's legal duty to furnish information. 41 cfr 60-1.35(c)",3.8,"Boston, MA",1001 to 5000 employees,Consulting,Business Services,1981,154.0,"pharma, research, economics consulting, strategy, life sciences, biotech, finance, energy, analytical services, economics, health care analytics"
data scientist,"job description: do you have a passion for data and machine learning? do you dream of working with customers on their most forward-looking ai initiatives? does the challenge of developing modern machine learning solutions to solve real-world manufacturing problems exciting to you? we develop software for monitoring semiconductor manufacturing process and are looking to leverage the latest technologies to address our customer's needs. you will be part of a team that investigates and builds solutions based all the data available in factories, ranging from time series data, to post manufacturing data, to production logs. you will be working side by side with application developers and customers on real world problems with actual manufacturing data. job function: basic and applied research in statistical machine learning, deep learning, and data science as well as signal and information processing to advance the state of the art in time series analysis of semiconductor manufacturing data. responsibilities: perform data analysis, data pre-processing, and feature engineering in support of advanced machine learning algorithm development. incorporate physical and operational insights/constraints into statistical models to achieve a high degree of robustness. prototype algorithms for proof of concept, validation, and software implementation. support performance evaluations and the transition of algorithms into existing fault detection and classification systems. convey the results of scientific research to sponsors and the scientific community through briefings, conferences and peer-reviewed publications. other related functions as assigned. required qualifications: bachelor's degree in computer science or chemical engineering or related technical field. demonstrated ability in machine learning/artificial intelligence (ml/ai) development and/or scientific modelling and data analysis. demonstrated ability with python/matlab or similar abstract language. experience with both traditional ml and modern deep learning approaches. experience with agile development practices and git version control. experience with one or more of the dnn frameworks like tensorflow, pytorch, chainer. experience with sql, graph stores, or nosql stores. applicant must have a dynamic skill set, be willing to work with new technologies, be highly organized and capable of planning and coordinating multiple tasks. the position will require attention to detail, effective problem solving skills and excellent judgment. ability to work independently with sensitive and confidential information, maintain a professional demeanor, work as a team member without daily supervision. compensation & benefits: compensation will be commensurate with experience including a competitive base salary, bonus opportunity, competitive benefits package, and relocation assistance. inficon, is committed to ensuring that our online application process provides an equal opportunity to all job seekers that apply without regard to race, religion, ethnicity, national origin, citizenship, gender, age, protected veteran status, disability status, genetic information, sexual orientation, or any other protected characteristic. a notice describing federal equal employment opportunity laws is available here and here to reaffirm this commitment. pi120660357",3.5,"Newton, MA",501 to 1000 employees,Electrical & Electronic Manufacturing,Manufacturing,2000,154.0,"production logs, deep learning, developing, analysis, data science, investigates, applied research, semiconductor manufacturing process, technologies, ai, world, post manufacturing data, machine learning, develop, time series data, manufacturing data, information processing, manufacturing, software, data"
data scientist,"data scientist affinity solutions / marketing cloud seeks smart, curious, technically savvy candidates to join our cutting-edge data science team. we hire the best and brightest and give them the opportunity to work on industry-leading technologies. the data sciences team at afs/marketing cloud build models, machine learning algorithms that power all our ad-tech/mar-tech products at scale, develop methodology and tools to precisely and effectively measure market campaign effects, and research in-house and public data sources for consumer spend behavior insights. in this role, you'll have the opportunity to come up with new ideas and solutions that will lead to improvement of our ability to target the right audience, derive insights and provide better measurement methodology for marketing campaigns. you'll access our core data asset and machine learning infrastructure to power your ideas. duties and responsibilities · support all clients model building needs, including maintaining and improving current modeling/scoring methodology and processes, · provide innovative solutions to customized modeling/scoring/targeting with appropriate ml/statistical tools, · provide analytical/statistical support such as marketing test design, projection, campaign measurement, market insights to clients and stakeholders. · mine large consumer datasets in the cloud environment to support ad hoc business and statistical analysis, · develop and improve automation capabilities to enable customized delivery of the analytical products to clients, · communicate the methodologies and the results to the management, clients and none technical stakeholders. basic qualifications · advanced degree in statistics/mathematics/computer science/economics or other fields that requires advanced training in data analytics. · being able to apply basic statistical/ml concepts and reasoning to address and solve business problems such as targeting, test design, kpi projection and performance measurement. · entrepreneurial, highly self-motivated, collaborative, keen attention to detail, willingness and capable learn quickly, and ability to effectively prioritize and execute tasks in a high pressure environment. · being flexible to accept different task assignments and able to work on a tight time schedule. · excellent command of one or more programming languages; preferably python, sas or r · familiar with one of the database technologies such as postgresql, mysql, can write basic sql queries · great communication skills (verbal, written and presentation) preferred qualifications · experience or exposure to large consumer and/or demographic data sets. · familiarity with data manipulation and cleaning routines and techniques.",2.9,"New York, NY",51 to 200 employees,Advertising & Marketing,Business Services,1998,154.0,"data asset, research, model building, support, mar-, scale, develop methodology, data sciences, insights, measurement methodology, models, technologies, maintaining, machine learning infrastructure, data sources"
data scientist,"about us: headquartered in beautiful santa barbara, hg insights is the global leader in technology intelligence. hg insights uses advanced data science methodologies to help the world's largest technology firms and the fastest growing companies accelerate their sales, marketing, and strategy efforts. we offer a casual yet professional environment. get your sweat on at one of our fitness classes or go for a run along the beach which is two blocks away. you can find employees riding bikes to lunch in the funk zone or hanging out in one of our collaboration spaces. we are passionate about our jobs with a get-it-done attitude, yet we don't take ourselves too seriously. what you'll do: we are looking for a data scientist with software development or data engineering background to join our research team which reports directly to the cto. we are a rapidly growing company with small focused engineering teams that deliver innovative features to a fast growing market. we build big-data systems utilizing cutting edge technologies and solutions that allow for our engineers to continuously learn and develop while shipping amazing products. qualities/ experience: self-learner, hacker, technology advocate who can work on anything amazing engineering skills, you're on your way to being the one of the best engineers you know you can architect, design, code, test, and mentor others experience working with interesting and successful projects thrive in a fast growing environment excellent written and spoken english communication an interest in machine learning and natural language processing what you'll be responsible for: build solutions for text classification, entity linking, and entity extraction and other related projects scaling machine learning and nlp projects to run against large datasets in virtualized environments. you will collaborate with product development teams to build the most effective solutions you will develop features in our databases, backend apps, front end ui, and data as a service (daas) product you will help architect and design large scale enterprise big-data systems you will work on ideas from different team members as well as your own fix bugs rapidly attend daily stand-up meetings, planning sessions, encourage others, and collaborate at a rapid pace what you'll need: bs, ms, or ph.d. in computer science or related technical discipline experience natural language processing, preferably in a commercial setting. experience building logistic regression models proficient in python and jupyter as well as related data science libraries (such as scikit-learn, nltk, spacy, tensorflow) proficient in java or scala (3+ years experience recommended) experience with mysql, elasticsearch, esb, hadoop, spark, or other related data processing/database technologies experience with amazon web services (ec2, s3, rds, emr, elb, etc.) experience with web services using rest in java actual coding experience in large distributed environments with multiple endpoints and complex interactions comfortable in an agile development environment understanding and have real world experience using design patterns comfortable programming on a mac with intellij and other tools hg insights company is an equal opportunity employer please note that hg insights does not accept unsolicited resumes from recruiters or employment agencies. in the event of a recruiter or agency submitting a resume or candidate without a signed agreement being in place, we explicitly reserve the right to pursue and hire such candidates without any financial obligation to the recruiter or agency. any unsolicited resumes, including those submitted directly to hiring managers, are deemed to be the property of hg insights",4.2,"Santa Barbara, CA",51 to 200 employees,Computer Hardware & Software,Information Technology,2010,154.0,"marketing, data engineering, innovative, strategy, software development, bikes, engineering, sales, collaboration, technology intelligence"
data scientist / machine learning expert,"posting title data scientist / machine learning expert 04-feb-2020 job id 288341br job description one global discovery chemistry community working across 7 disease areas at the novartis institutes for biomedical research (nibr) is seeking a highly talented and motivated data scientist to join our global discovery chemistry department in cambridge, ma. the successful candidate will join an energizing and collaborative research organization, working alongside colleagues who are committed to improving human health through the discovery of transformative medicines. we are seeking a unique data scientist with the skills, experience and passion to extract new knowledge and disruptive insights from the large and rich body of data collected by one of the world’s leading pharmaceutical companies. you will be a member of our global computer-aided drug discovery (cadd) group, an interdisciplinary team of expert molecular modelers, cheminformaticians, and data scientists. teamed up with domain experts from biology, chemistry and translational medicine, this is a unique opportunity to develop and apply cutting-edge machine learning technologies to uncover insights to real-world drug discovery problems and innovate paths to new medicines. your responsibilities include: •develop and implement methods for extracting patterns and correlations from both internal and external data sources using machine learning toolkits •develop workflows for conducting comparative analysis among novartis’ diverse data sources as well as generalizing approaches developed in-house or externally. •enable open-source solutions for internal use and implement cutting-edge published scientific methods. •develop customized machine learning solutions including data querying and knowledge extraction. •interact and be part of interdisciplinary project teams to drive effective decision-making by mining and developing predictive models •develop new skills in the area of cheminformatics and drug discovery and leverage those to accelerate development of new machine learning algorithms •keep ahead of scientific literature and interact with internal and external scientists to integrate novel data science technologies minimum requirements education: advanced degree (m.sc. or higher) in data science and machine learning, statistics, computer sciences, cheminformatics, mathematics, computational chemistry, computational biology, bioinformatics, or related field. minimum experience & skills: •in-depth experience with modern and classical machine learning methods •strong statistical foundation with broad knowledge of supervised and unsupervised techniques •programming experience (preferred python, r, c++) preferably in linux and high-performance computing environments •good listener - strong, concise, and consistent written and oral communication •talent for communicating stories through data visualizations •proven ability to collaborate with others •a passion for tackling challenging problems and developing creative solutions •a drive for self-development with a focus on scientific know-how additional qualifications that will help in the role: •demonstrated impact using machine learning libraries, such as scikit-learn, pytorch or similar in a cheminformatics context •hands on experience with data analysis software such as spotfire, r-shiny or similar •working experience with open-source cheminformatics toolkits such as rdkit •working experience with source-code management systems such as git/github/bitbucket •familiar with the foundational concepts in molecular biology, pharmacology or medicine. working knowledge of medicinal chemistry and drug discovery is a plus why consider novartis? 750 million. that’s how many lives our products touch. and while we’re proud of that fact, in this world of digital and technological transformation, we must also ask ourselves this: how can we continue to improve and extend even more people’s lives? we believe the answers are found when curious, courageous and collaborative people like you are brought together in an inspiring environment. where you’re given opportunities to explore the power of digital and data. where you’re empowered to risk failure by taking smart risks, and where you’re surrounded by people who share your determination to tackle the world’s toughest medical challenges. we are novartis. join us and help us reimagine medicine. job type full time country usa work location cambridge, ma functional area research & development division nibr business unit global discovery chemistry employment type regular company/legal entity nibri eeo statement the novartis group of companies are equal opportunity employers and take pride in maintaining a diverse environment. we do not discriminate in recruitment, hiring, training, promotion or any other employment practices for reasons of race, color, religion, gender, national origin, age, sexual orientation, marital or veteran status, disability, or any other legally protected status. shift work no",3.9,"Cambridge, MA",10000+ employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,1996,154.0,"global discovery chemistry, pharmaceutical, collaborative, data, domain ex, machine learning"
data scientist,"introduction have you always wanted to run experiments on a global fleet of consumer robots? irobot is looking for a data scientist to help manage a/b tests related to robot software, track performance kpis, and share results with software teams. a strong candidate has experience in experimental design, hypothesis testing, and statistics, in addition to strong sql and python skills. what you will do: guide software and product management teams in designing rigorous experiments to test the impact of new software versions. dashboarding to monitor results live from the fleet. test hypotheses about software performance using appropriate statistical methods. develop metrics to track software performance. uphold scientific best practices in experimental design and cohort selection. contribute to a management system for cohort selection. to be successful you will have: at least 1 year of relevant job, internship, or co-op experience. m.s. in computer science, statistics, mathematics, physics, chemistry, biology, or social sciences is a plus. very detail-oriented and eager to get your hands dirty in the data. proficient in python, sql, and data visualization, with experience using pandas, numpy, sklearn, scipy, matplotlib, or plotly. experienced in designing experiments, making and testing hypotheses, and identifying the appropriate metrics to answer a question. savvy in statistical methods and able to select the right test for each situation. can balance business considerations with the need for scientific rigor. self-motivated and comfortable working in a fast-paced, delivery-focused environment. skilled communicator who can make the complicated seem simple. passionate about using data to drive decision-making!",3.5,"Bedford, MA",1001 to 5000 employees,Consumer Electronics & Appliances Stores,Retail,1990,154.0,"dashboarding, robot software, testing, hypothesis, python, metrics, software performance, management system, performance kpis, mathematics, robots, manage, experimental design, product management, monitor, fleet, tests, computer science, sql, physics, software, statistics, designing"
staff data scientist - analytics,"intuit is seeking a staff data scientist to cover intuits consumer group (turbotax, mint, turbo). we have an exciting opportunity to help shape how we use data to generate hypotheses, surface insights, and build models in order to personalize customer experiences and provide awesome outcomes for the business and our customers. this role will partner closely with data engineering, data analytics, data science, marketing managers, and product management.",4.4,"San Diego, CA",5001 to 10000 employees,Computer Hardware & Software,Information Technology,1983,154.0,"customer experiences, data engineering, data analytics, marketing, product management, business, data, surface insights, generate hypotheses, data science"
data scientist,"ready to write the best chapter of your career? xsell technologies is an artificial intelligence company focused on increasing sales. our cloud-based machine learning engine uses predictive analytics and natural language processing to equip sales professionals with the best real-time responses, driving improved conversion rates and customer experiences. we pride ourselves on our high performing, collaborative culture. we are passionate about our product, our clients, and our industry leading results. xsell is currently seeking a data scientist to serve as a key member of our data science team. this role will work within the safe agile framework of continuous delivery, work with other data scientists, and be a critical resource for our growing data science staff. job description designing, implementing and improving xsell’s proprietary softwares, real time messaging recommendation systems, hipercobot and qabot using various mathematical, natural language processing (nlp) algorithms and machine learning models. developing new systems using python nlp (lemmatization, stemming, named entity recognition) and updating the existing systems by adding new features to enhance the customers experience. interacting with stakeholders to identify the requirements and define new processes. closely work with the team to define the architecture of the microservice environment and deploy systems using restful api’s. planning, development, and analysis of dialogue prediction/sentiment models, causal models of customer/agent behavior. improving the accuracy of the in house xsell recommendation system software suite by evaluating and monitoring annotations manually labelled by ontology team. analyzing and researching the current market trends for possible ai opportunities/improvements. qualifications ms/phd in a quantitative discipline (e.g. machine learning, data science, computer science, mathematics, statistics, or a related field). 3+ years full time employment or postdoctoral experience building and validating predictive models on structured or unstructured data. proficiency in python with knowledge of basic libraries for data manipulation, machine learning, natural language processing and text mining. experience creating and using advanced machine learning algorithms (regression, neural networks, etc.) understanding of deep learning algorithms and experience with related libraries such as tensorflow, pytorch. nice to have experience in sql. understanding of object oriented design. ability to craft new concepts and stay current with academic research experience with graph databases and graph designs. experience in designing/developing production level machine learning architectures (using flask or redis) we provide competitive compensation, generous benefits, and a professional atmosphere. xsell fosters an entrepreneurial, results driven work environment where you will have the opportunity to be part of a collaborative, inclusive team and be able to grow and develop your professional career. xsell technologies is an equal employment opportunity employer and all employment decisions shall be made without regard to age, race, creed, color, religion, sex, national origin, ancestry, disability status, veteran status, sexual orientation, gender identity or expression, genetic information, marital status, citizenship status or any other basis as protected by federal, state, or local law. location: chicago, il role: full-time / salaried",3.6,"Chicago, IL",51 to 200 employees,Enterprise Software & Network Solutions,Information Technology,2014,154.0,"customer experiences, hipercobot, implementing, data science, designing, sales, predictive analytics, real time messaging, collaborative, softwares, natural language processing, qabot, machine learning, cloud, write, artificial intelligence, mathematical"
